,index,date,open,high,low,close,Day of Week
0,259,2020-01-06 00:00:00,1.116,1.1168,1.1159,1.1163,Monday
1,258,2020-01-06 01:00:00,1.1163,1.1165,1.116,1.1163,Monday
2,257,2020-01-06 02:00:00,1.1163,1.1167,1.1161,1.1165,Monday
3,256,2020-01-06 03:00:00,1.1165,1.1171,1.1164,1.1166,Monday
4,255,2020-01-06 04:00:00,1.1166,1.1166,1.116,1.1164,Monday
5,254,2020-01-06 05:00:00,1.1164,1.1165,1.1159,1.1161,Monday
6,253,2020-01-06 06:00:00,1.1162,1.1163,1.1155,1.116,Monday
7,252,2020-01-06 07:00:00,1.1161,1.1167,1.1158,1.1165,Monday
8,251,2020-01-06 08:00:00,1.1165,1.118,1.1162,1.1179,Monday
9,250,2020-01-06 09:00:00,1.1179,1.1194,1.1174,1.1193,Monday
10,249,2020-01-06 10:00:00,1.1193,1.12,1.1188,1.1196,Monday
11,248,2020-01-06 11:00:00,1.1196,1.1205,1.1195,1.1203,Monday
12,247,2020-01-06 12:00:00,1.1203,1.1204,1.1194,1.1198,Monday
13,246,2020-01-06 13:00:00,1.1198,1.1203,1.1189,1.1198,Monday
14,245,2020-01-06 14:00:00,1.1198,1.12,1.1181,1.1183,Monday
15,244,2020-01-06 15:00:00,1.1183,1.119,1.118,1.1189,Monday
16,243,2020-01-06 16:00:00,1.1189,1.119,1.118,1.1187,Monday
17,242,2020-01-06 17:00:00,1.1187,1.1196,1.1182,1.1194,Monday
18,241,2020-01-06 18:00:00,1.1195,1.1198,1.119,1.1192,Monday
19,240,2020-01-06 19:00:00,1.1192,1.1193,1.1186,1.1191,Monday
20,239,2020-01-06 20:00:00,1.1191,1.1194,1.1187,1.1194,Monday
21,238,2020-01-06 21:00:00,1.1193,1.1199,1.1191,1.1197,Monday
22,237,2020-01-06 22:00:00,1.1197,1.1197,1.1192,1.1196,Monday
23,236,2020-01-06 23:00:00,1.1196,1.1198,1.1192,1.1195,Monday
24,91,2020-01-13 00:00:00,1.1116,1.1119,1.1114,1.1118,Monday
25,90,2020-01-13 01:00:00,1.1119,1.1121,1.1116,1.1121,Monday
