Date, Time, Open, High, Low, Last, Volume, OpenInterest
2008/1/14, 00:00:00, 1.47810, 1.49151, 1.47810, 1.48693, 17648, 0
2008/1/15, 00:00:00, 1.48693, 1.49225, 1.48002, 1.48038, 21879, 0
2008/1/16, 00:00:00, 1.48038, 1.48591, 1.45948, 1.46518, 31331, 0
2008/1/17, 00:00:00, 1.46518, 1.47151, 1.45896, 1.46423, 29385, 0
2008/1/18, 00:00:00, 1.46423, 1.46956, 1.46040, 1.46168, 26570, 0
2008/1/21, 00:00:00, 1.46035, 1.46045, 1.44216, 1.44563, 24647, 0
2008/1/22, 00:00:00, 1.44563, 1.46446, 1.43657, 1.46286, 39341, 0
2008/1/23, 00:00:00, 1.46286, 1.46851, 1.45110, 1.46295, 34974, 0
2008/1/24, 00:00:00, 1.46295, 1.47790, 1.45912, 1.47550, 28830, 0
2008/1/25, 00:00:00, 1.47550, 1.47780, 1.46610, 1.46716, 26079, 0
2008/1/28, 00:00:00, 1.46805, 1.47979, 1.46623, 1.47821, 23122, 0
2008/1/29, 00:00:00, 1.47821, 1.47975, 1.47378, 1.47767, 21059, 0
2008/1/30, 00:00:00, 1.47767, 1.49076, 1.47551, 1.48628, 25332, 0
2008/1/31, 00:00:00, 1.48628, 1.49140, 1.48020, 1.48604, 31633, 0
2008/2/1, 00:00:00, 1.48604, 1.49434, 1.47860, 1.47985, 27594, 0
2008/2/4, 00:00:00, 1.48055, 1.48491, 1.47932, 1.48301, 21031, 0
2008/2/5, 00:00:00, 1.48301, 1.48350, 1.46230, 1.46469, 27123, 0
2008/2/6, 00:00:00, 1.46469, 1.46716, 1.45919, 1.46311, 24632, 0
2008/2/7, 00:00:00, 1.46311, 1.46518, 1.44396, 1.44850, 31569, 0
2008/2/8, 00:00:00, 1.44850, 1.45470, 1.44512, 1.45122, 23996, 0
2008/2/11, 00:00:00, 1.45175, 1.45771, 1.44821, 1.45199, 21798, 0
2008/2/12, 00:00:00, 1.45199, 1.46149, 1.44963, 1.45835, 23835, 0
2008/2/13, 00:00:00, 1.45835, 1.45985, 1.45318, 1.45738, 22773, 0
2008/2/14, 00:00:00, 1.45738, 1.46487, 1.45488, 1.46420, 22747, 0
2008/2/15, 00:00:00, 1.46420, 1.47092, 1.46316, 1.46777, 35006, 0
2008/2/18, 00:00:00, 1.46800, 1.46907, 1.46107, 1.46580, 22112, 0
2008/2/19, 00:00:00, 1.46580, 1.47571, 1.46422, 1.47255, 37405, 0
2008/2/20, 00:00:00, 1.47255, 1.47312, 1.46145, 1.47145, 41841, 0
2008/2/21, 00:00:00, 1.47145, 1.48380, 1.47026, 1.48137, 40219, 0
2008/2/22, 00:00:00, 1.48137, 1.48632, 1.47887, 1.48308, 33806, 0
2008/2/25, 00:00:00, 1.48308, 1.48447, 1.47947, 1.48295, 29887, 0
2008/2/26, 00:00:00, 1.48295, 1.49858, 1.47780, 1.49740, 42992, 0
2008/2/27, 00:00:00, 1.49740, 1.51438, 1.49710, 1.51202, 61843, 0
2008/2/28, 00:00:00, 1.51202, 1.52297, 1.50736, 1.51932, 50355, 0
2008/2/29, 00:00:00, 1.51932, 1.52392, 1.51436, 1.51805, 55596, 0
2008/3/3, 00:00:00, 1.51805, 1.52763, 1.51576, 1.52041, 49329, 0
2008/3/4, 00:00:00, 1.52041, 1.52492, 1.51734, 1.52167, 34717, 0
2008/3/5, 00:00:00, 1.52167, 1.53023, 1.51455, 1.52638, 37829, 0
2008/3/6, 00:00:00, 1.52638, 1.53944, 1.52618, 1.53803, 49499, 0
