Date, Time, Open, High, Low, Last, Volume, OpenInterest
2017/1/16, 00:00:00, 21567, 21787, 21271, 21528, 436771, 103598
2017/1/23, 00:00:00, 21536, 22037, 21453, 21977, 391346, 120417
2017/2/1, 00:00:00, 21845, 22067, 21559, 21671, 216945, 123396
2017/2/6, 00:00:00, 21680, 22311, 21668, 22172, 400331, 129522
2017/2/13, 00:00:00, 22175, 22735, 22146, 22642, 431771, 137690
2017/2/20, 00:00:00, 22634, 22859, 22535, 22655, 626172, 141432
2017/2/27, 00:00:00, 22644, 22737, 22133, 22197, 468542, 137762
2017/3/6, 00:00:00, 22190, 22450, 22032, 22203, 459233, 135244
2017/3/13, 00:00:00, 22211, 23092, 22191, 22946, 464798, 135741
2017/3/20, 00:00:00, 22955, 23335, 22874, 23028, 585617, 105840
2017/3/27, 00:00:00, 23031, 23156, 22724, 22761, 501306, 136583
2017/4/3, 00:00:00, 22761, 23113, 22583, 22893, 443378, 133627
2017/4/10, 00:00:00, 22900, 23009, 22603, 22872, 447649, 134149
2017/4/18, 00:00:00, 22873, 22944, 22336, 22658, 490517, 101143
2017/4/24, 00:00:00, 22641, 23356, 22565, 23291, 566792, 133438
2017/5/2, 00:00:00, 23291, 23425, 22950, 23085, 294177, 135539
2017/5/8, 00:00:00, 23085, 23831, 23048, 23793, 548071, 148604
2017/5/15, 00:00:00, 23783, 24108, 23758, 23917, 505697, 146281
2017/5/22, 00:00:00, 23932, 24449, 23924, 24348, 596931, 141688
2017/5/29, 00:00:00, 24346, 24708, 24286, 24641, 339092, 145719
2017/6/5, 00:00:00, 24647, 24880, 24554, 24824, 418021, 152104
2017/6/12, 00:00:00, 24827, 24888, 24273, 24425, 437706, 154834
2017/6/19, 00:00:00, 24429, 24802, 24337, 24565, 579109, 123250
2017/6/26, 00:00:00, 24565, 24873, 24487, 24633, 588231, 140264
2017/7/3, 00:00:00, 24635, 24816, 24158, 24378, 545586, 141937
2017/7/10, 00:00:00, 24372, 25482, 24325, 25438, 512868, 142180
2017/7/17, 00:00:00, 25436, 25831, 25421, 25822, 464060, 128399
2017/7/24, 00:00:00, 25823, 26211, 25709, 26064, 564454, 142737
2017/7/31, 00:00:00, 26064, 26776, 26023, 26656, 473821, 147403
2017/8/7, 00:00:00, 26662, 27001, 25955, 25963, 635201, 155281
2017/8/14, 00:00:00, 25969, 26715, 25926, 26153, 617051, 147470
2017/8/21, 00:00:00, 26143, 27047, 26072, 27047, 566918, 69714
2017/8/28, 00:00:00, 27040, 27319, 26786, 27138, 552903, 147571
2017/9/4, 00:00:00, 27132, 27237, 26619, 26945, 558739, 149750
2017/9/11, 00:00:00, 26948, 27303, 26726, 27045, 543780, 144721
2017/9/18, 00:00:00, 27050, 27494, 27020, 27053, 586316, 102532
2017/9/25, 00:00:00, 27064, 27164, 26528, 26799, 641809, 134500
2017/10/3, 00:00:00, 26797, 27907, 26767, 27719, 273418, 133616
2017/10/9, 00:00:00, 27718, 27892, 27509, 27742, 463923, 138005
2017/10/16, 00:00:00, 27754, 28095, 27341, 27703, 539573, 135991
2017/10/23, 00:00:00, 27704, 27834, 27314, 27715, 751299, 127378
2017/10/30, 00:00:00, 27721, 27945, 27448, 27856, 591454, 130308
2017/11/6, 00:00:00, 27852, 28467, 27375, 28357, 628952, 134948
2017/11/13, 00:00:00, 28349, 28598, 28150, 28481, 590188, 135126
2017/11/20, 00:00:00, 28481, 30629, 28349, 29198, 912198, 68805
2017/11/27, 00:00:00, 29195, 29333, 28286, 28354, 865366, 144935
2017/12/4, 00:00:00, 28352, 28592, 27387, 27858, 911983, 140059
2017/12/11, 00:00:00, 27865, 28677, 27825, 28028, 794712, 138072
2017/12/18, 00:00:00, 28040, 28855, 27959, 28845, 761012, 45842
2017/12/27, 00:00:00, 28836, 29194, 28759, 29115, 317978, 139437
2018/1/2, 00:00:00, 29122, 30079, 29108, 29931, 527348, 139855
2018/1/8, 00:00:00, 29938, 30576, 29878, 30574, 758369, 139565
2018/1/15, 00:00:00, 30584, 31415, 30445, 31402, 921613, 139682
2018/1/22, 00:00:00, 31410, 32370, 31178, 32321, 1174073, 40424
2018/1/29, 00:00:00, 32342, 32683, 31467, 31707, 1113691, 136606
2018/2/5, 00:00:00, 31697, 31697, 28269, 28528, 1294307, 127197
2018/2/12, 00:00:00, 28531, 30235, 28199, 30164, 575695, 116500
2018/2/20, 00:00:00, 30386, 30717, 29806, 30376, 637516, 26174
2018/2/26, 00:00:00, 30369, 30992, 29563, 29740, 941224, 108640
2018/3/5, 00:00:00, 29719, 30250, 28996, 30202, 846110, 109060
2018/3/12, 00:00:00, 30197, 30920, 30164, 30656, 782604, 105876
2018/3/19, 00:00:00, 30673, 31211, 29062, 29353, 1152224, 77827
2018/3/26, 00:00:00, 29326, 30178, 29000, 29298, 817634, 112678
2018/4/3, 00:00:00, 29308, 29566, 28395, 29085, 653643, 117595
2018/4/9, 00:00:00, 29096, 30399, 29000, 30115, 1013379, 111182
2018/4/16, 00:00:00, 30124, 30248, 29203, 29606, 1213098, 110683
2018/4/23, 00:00:00, 29616, 30030, 29086, 29480, 1156042, 114823
2018/4/30, 00:00:00, 29459, 30141, 29061, 29197, 962081, 106458
2018/5/7, 00:00:00, 29176, 30560, 28992, 30511, 1034426, 120316
2018/5/14, 00:00:00, 30500, 30916, 30058, 30313, 982645, 115823
2018/5/21, 00:00:00, 30325, 30824, 29793, 30061, 863646, 52666
