Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2019/11/29, 01:00:00, 26847, 26847, 26498, 26555, 50, 49, 31, 19
2019/11/29, 02:00:00, 26549, 26593, 26480, 26508, 116, 90, 35, 81
2019/11/29, 03:00:00, 26500, 26500, 26400, 26441, 38, 20, 13, 25
2019/11/29, 05:00:00, 26438, 26438, 26392, 26420, 32, 19, 19, 13
2019/11/29, 06:00:00, 26414, 26471, 26401, 26443, 66, 22, 10, 56
2019/11/29, 07:00:00, 26400, 26435, 26380, 26415, 87, 49, 62, 25
2019/11/29, 08:00:00, 26414, 26450, 26395, 26395, 158, 100, 73, 85
2019/11/29, 09:00:00, 26446, 26468, 26446, 26468, 4, 4, 0, 4
2019/11/29, 10:00:00, 26463, 26464, 26461, 26463, 6, 6, 2, 4
2019/11/29, 11:00:00, 26476, 26476, 26476, 26476, 1, 1, 0, 1
2019/11/29, 12:00:00, 26488, 26488, 26488, 26488, 1, 1, 0, 1
2019/11/29, 13:00:00, 26460, 26460, 26458, 26458, 3, 3, 3, 0
2019/11/29, 14:00:00, 26450, 26470, 26400, 26470, 10, 10, 6, 4
2019/11/29, 15:00:00, 26472, 26486, 26452, 26463, 9, 9, 2, 7
2019/11/29, 16:00:00, 26450, 26450, 26450, 26450, 1, 1, 1, 0
2019/11/29, 17:00:00, 26457, 26457, 26451, 26451, 2, 2, 0, 2
2019/11/29, 18:00:00, 26445, 26445, 26445, 26445, 1, 1, 1, 0
2019/12/2, 01:00:00, 26555, 26628, 26480, 26585, 476, 123, 268, 208
2019/12/2, 02:00:00, 26602, 26602, 26527, 26535, 45, 42, 20, 25
2019/12/2, 03:00:00, 26561, 26570, 26547, 26552, 7, 7, 3, 4
2019/12/2, 05:00:00, 26540, 26540, 26515, 26524, 49, 36, 39, 10
2019/12/2, 06:00:00, 26527, 26550, 26506, 26546, 40, 31, 12, 28
2019/12/2, 07:00:00, 26542, 26542, 26519, 26524, 11, 10, 7, 4
2019/12/2, 08:00:00, 26530, 26540, 26510, 26540, 24, 17, 16, 8
2019/12/2, 10:00:00, 26532, 26538, 26529, 26538, 3, 3, 2, 1
2019/12/2, 11:00:00, 26532, 26532, 26460, 26460, 6, 6, 6, 0
2019/12/2, 13:00:00, 26454, 26454, 26454, 26454, 2, 1, 2, 0
2019/12/2, 14:00:00, 26459, 26459, 26459, 26459, 1, 1, 0, 1
2019/12/2, 15:00:00, 26418, 26431, 26417, 26417, 3, 3, 2, 1
2019/12/2, 16:00:00, 26425, 26425, 26396, 26400, 7, 6, 5, 2
2019/12/2, 17:00:00, 26390, 26407, 26368, 26407, 7, 7, 4, 3
2019/12/2, 18:00:00, 26415, 26415, 26399, 26414, 8, 8, 3, 5
2019/12/3, 01:00:00, 26396, 26450, 26138, 26300, 243, 112, 67, 176
2019/12/3, 02:00:00, 26306, 26475, 26270, 26407, 411, 249, 104, 307
2019/12/3, 03:00:00, 26411, 26519, 26398, 26503, 188, 111, 61, 127
2019/12/3, 05:00:00, 26492, 26493, 26445, 26452, 59, 33, 46, 13
2019/12/3, 06:00:00, 26450, 26467, 26435, 26466, 73, 25, 12, 61
2019/12/3, 07:00:00, 26482, 26498, 26449, 26456, 214, 35, 197, 17
2019/12/3, 08:00:00, 26475, 26480, 26441, 26441, 78, 55, 55, 23
2019/12/3, 09:00:00, 26462, 26464, 26428, 26429, 8, 8, 3, 5
2019/12/3, 10:00:00, 26402, 26402, 26317, 26320, 159, 85, 145, 14
2019/12/3, 11:00:00, 26338, 26352, 26331, 26344, 28, 15, 20, 8
2019/12/3, 12:00:00, 26331, 26334, 26280, 26280, 106, 61, 101, 5
2019/12/3, 13:00:00, 26276, 26281, 26166, 26177, 173, 43, 75, 98
2019/12/3, 14:00:00, 26142, 26142, 26020, 26074, 62, 59, 47, 15
2019/12/3, 15:00:00, 26086, 26138, 26060, 26076, 28, 25, 10, 18
