Date, Time, Open, High, Low, Last, Volume, OpenInterest
2017/1/16, 00:00:00, 21796, 21814, 21500, 21593, 66596, 121299
2017/1/17, 00:00:00, 21589, 21704, 21560, 21683, 86432, 123143
2017/1/18, 00:00:00, 21686, 22016, 21672, 21952, 75590, 118446
2017/1/19, 00:00:00, 21961, 21986, 21785, 21881, 79978, 113828
2017/1/20, 00:00:00, 21870, 21887, 21693, 21757, 128175, 103598
2017/1/23, 00:00:00, 21765, 21933, 21682, 21726, 137310, 58960
2017/1/24, 00:00:00, 21726, 21827, 21706, 21759, 85575, 29391
2017/1/25, 00:00:00, 21764, 21909, 21752, 21878, 16108, 16344
2017/1/26, 00:00:00, 21879, 22201, 21877, 22177, 16108, 0
2017/2/1, 00:00:00, 22029, 22161, 21857, 22148, 72534, 120039
2017/2/2, 00:00:00, 22148, 22251, 21877, 21956, 67503, 119247
2017/2/3, 00:00:00, 21934, 22034, 21743, 21855, 76908, 123396
2017/2/6, 00:00:00, 21864, 22127, 21852, 22079, 67928, 122332
2017/2/7, 00:00:00, 22094, 22171, 21996, 22090, 96231, 127199
2017/2/8, 00:00:00, 22092, 22302, 21920, 22255, 87578, 126574
2017/2/9, 00:00:00, 22265, 22384, 22161, 22264, 72792, 127240
2017/2/10, 00:00:00, 22251, 22495, 22251, 22356, 75802, 129522
2017/2/13, 00:00:00, 22359, 22501, 22330, 22445, 73228, 129940
2017/2/14, 00:00:00, 22443, 22508, 22389, 22483, 99649, 134106
2017/2/15, 00:00:00, 22479, 22827, 22425, 22798, 85100, 134772
2017/2/16, 00:00:00, 22793, 22919, 22740, 22887, 82314, 136851
2017/2/17, 00:00:00, 22883, 22907, 22754, 22826, 91480, 137690
2017/2/20, 00:00:00, 22818, 22997, 22746, 22949, 108677, 137291
2017/2/21, 00:00:00, 22948, 22996, 22719, 22731, 131732, 110959
2017/2/22, 00:00:00, 22749, 22957, 22745, 22957, 157877, 80674
2017/2/23, 00:00:00, 22957, 23043, 22861, 22965, 112524, 31343
2017/2/24, 00:00:00, 22967, 23017, 22796, 22836, 21340, 18687
2017/2/27, 00:00:00, 22823, 22916, 22663, 22754, 102401, 141572
2017/2/28, 00:00:00, 22754, 22837, 22551, 22568, 83275, 144600
2017/3/1, 00:00:00, 22566, 22680, 22561, 22619, 112532, 143774
2017/3/2, 00:00:00, 22629, 22913, 22464, 22465, 91473, 140601
2017/3/3, 00:00:00, 22461, 22531, 22312, 22376, 78861, 137762
2017/3/6, 00:00:00, 22369, 22515, 22358, 22407, 74403, 138518
2017/3/7, 00:00:00, 22414, 22538, 22377, 22496, 93072, 141691
2017/3/8, 00:00:00, 22490, 22625, 22360, 22603, 97455, 136599
2017/3/9, 00:00:00, 22619, 22629, 22256, 22325, 91972, 134399
2017/3/10, 00:00:00, 22331, 22416, 22211, 22382, 102331, 135244
2017/3/13, 00:00:00, 22390, 22676, 22370, 22628, 73828, 131744
2017/3/14, 00:00:00, 22638, 22731, 22577, 22610, 86836, 131591
2017/3/15, 00:00:00, 22613, 22659, 22445, 22604, 115384, 130687
2017/3/16, 00:00:00, 22610, 23175, 22597, 23155, 102511, 133338
2017/3/17, 00:00:00, 23152, 23271, 23083, 23125, 86239, 135741
2017/3/20, 00:00:00, 23134, 23375, 23103, 23367, 96924, 135622
2017/3/21, 00:00:00, 23366, 23504, 23307, 23436, 117765, 136584
2017/3/22, 00:00:00, 23435, 23514, 23053, 23128, 105058, 133515
2017/3/23, 00:00:00, 23134, 23291, 23076, 23176, 103732, 122516
2017/3/24, 00:00:00, 23169, 23275, 23107, 23207, 162138, 105840
2017/3/27, 00:00:00, 23210, 23280, 22974, 23081, 145369, 75512
2017/3/28, 00:00:00, 23067, 23226, 23022, 23181, 100703, 34525
2017/3/29, 00:00:00, 23178, 23331, 23162, 23219, 15893, 17575
2017/3/30, 00:00:00, 23206, 23280, 23044, 23112, 104436, 135823
2017/3/31, 00:00:00, 23102, 23154, 22893, 22930, 60954, 136583
2017/4/3, 00:00:00, 22930, 23070, 22926, 23042, 113898, 137254
2017/4/5, 00:00:00, 23046, 23218, 22942, 23199, 107059, 135953
