Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2019/7/11, 14:00:00, 1.14700, 1.14700, 1.14700, 1.14700, 2, 1, 2, 0
2019/7/12, 10:00:00, 1.14680, 1.14680, 1.14680, 1.14680, 1, 1, 0, 1
2019/7/12, 14:00:00, 1.14610, 1.14700, 1.14605, 1.14700, 43, 4, 40, 3
2019/7/15, 02:00:00, 1.14850, 1.14850, 1.14850, 1.14850, 1, 1, 0, 1
2019/7/15, 10:00:00, 1.14870, 1.14870, 1.14870, 1.14870, 40, 7, 0, 40
2019/7/15, 14:00:00, 1.14730, 1.14730, 1.14730, 1.14730, 40, 8, 40, 0
2019/7/16, 06:00:00, 1.14690, 1.14710, 1.14690, 1.14710, 2, 2, 2, 0
2019/7/16, 14:00:00, 1.14245, 1.14285, 1.14245, 1.14285, 14, 4, 3, 11
2019/7/16, 18:00:00, 1.14190, 1.14210, 1.14150, 1.14210, 4, 4, 1, 3
2019/7/17, 10:00:00, 1.14245, 1.14245, 1.14245, 1.14245, 1, 1, 1, 0
2019/7/17, 14:00:00, 1.14280, 1.14410, 1.14280, 1.14385, 14, 8, 11, 3
2019/7/17, 22:00:00, 1.14335, 1.14335, 1.14330, 1.14330, 4, 2, 4, 0
2019/7/18, 06:00:00, 1.14460, 1.14460, 1.14460, 1.14460, 1, 1, 1, 0
2019/7/18, 10:00:00, 1.14195, 1.14195, 1.14195, 1.14195, 1, 1, 1, 0
2019/7/18, 18:00:00, 1.14730, 1.14780, 1.14730, 1.14775, 9, 3, 6, 3
2019/7/19, 14:00:00, 1.14400, 1.14400, 1.14260, 1.14260, 4, 2, 4, 0
2019/7/19, 18:00:00, 1.14155, 1.14155, 1.14155, 1.14155, 1, 1, 0, 1
2019/7/22, 14:00:00, 1.14225, 1.14240, 1.14225, 1.14240, 9, 3, 3, 6
2019/7/23, 06:00:00, 1.13980, 1.13980, 1.13980, 1.13980, 1, 1, 0, 1
2019/7/23, 10:00:00, 1.13870, 1.13875, 1.13870, 1.13875, 2, 2, 0, 2
2019/7/23, 14:00:00, 1.13660, 1.13660, 1.13570, 1.13625, 23, 12, 16, 7
2019/7/23, 18:00:00, 1.13560, 1.13570, 1.13555, 1.13570, 4, 4, 4, 0
2019/7/23, 22:00:00, 1.13555, 1.13555, 1.13555, 1.13555, 1, 1, 1, 0
2019/7/24, 06:00:00, 1.13530, 1.13530, 1.13345, 1.13345, 3, 3, 2, 1
2019/7/24, 10:00:00, 1.13460, 1.13500, 1.13460, 1.13490, 5, 5, 4, 1
2019/7/24, 14:00:00, 1.13515, 1.13515, 1.13480, 1.13480, 7, 6, 5, 2
2019/7/24, 18:00:00, 1.13500, 1.13500, 1.13500, 1.13500, 2, 1, 2, 0
2019/7/25, 10:00:00, 1.13340, 1.13340, 1.13090, 1.13235, 6, 6, 3, 3
2019/7/25, 14:00:00, 1.13750, 1.13845, 1.13475, 1.13490, 17, 8, 9, 8
2019/7/25, 18:00:00, 1.13410, 1.13520, 1.13355, 1.13520, 13, 5, 5, 8
2019/7/26, 06:00:00, 1.13450, 1.13450, 1.13405, 1.13425, 15, 6, 3, 12
2019/7/26, 10:00:00, 1.13370, 1.13445, 1.13370, 1.13445, 4, 2, 4, 0
2019/7/26, 14:00:00, 1.13205, 1.13265, 1.13205, 1.13265, 10, 9, 8, 2
2019/7/26, 18:00:00, 1.13370, 1.13370, 1.13370, 1.13370, 3, 1, 0, 3
2019/7/29, 10:00:00, 1.13190, 1.13230, 1.13190, 1.13230, 17, 3, 10, 7
2019/7/29, 14:00:00, 1.13320, 1.13320, 1.13320, 1.13320, 1, 1, 0, 1
2019/7/30, 10:00:00, 1.13530, 1.13560, 1.13530, 1.13560, 2, 2, 1, 1
2019/7/30, 14:00:00, 1.13505, 1.13515, 1.13450, 1.13515, 9, 4, 7, 2
2019/7/31, 10:00:00, 1.13510, 1.13510, 1.13510, 1.13510, 2, 1, 2, 0
2019/7/31, 14:00:00, 1.13500, 1.13500, 1.13275, 1.13275, 86, 14, 11, 75
2019/7/31, 18:00:00, 1.13335, 1.13335, 1.12715, 1.12750, 23, 18, 14, 9
2019/7/31, 22:00:00, 1.12830, 1.12830, 1.12360, 1.12420, 4, 4, 2, 2
2019/8/1, 02:00:00, 1.12430, 1.12430, 1.12430, 1.12430, 1, 1, 0, 1
2019/8/1, 06:00:00, 1.12375, 1.12375, 1.12375, 1.12375, 1, 1, 1, 0
2019/8/1, 14:00:00, 1.12350, 1.12660, 1.12350, 1.12660, 41, 27, 25, 16
