Date, Time, Open, High, Low, Last, Volume, OpenInterest
2015/3/3, 00:00:00, 1.22910, 1.22910, 1.22910, 1.22910, 0, 0
2015/3/4, 00:00:00, 1.21690, 1.21690, 1.21690, 1.21690, 0, 0
2015/3/5, 00:00:00, 1.21110, 1.21110, 1.21110, 1.21110, 0, 0
2015/3/6, 00:00:00, 1.19890, 1.19890, 1.19890, 1.19890, 0, 0
2015/3/9, 00:00:00, 1.19960, 1.19960, 1.19960, 1.19960, 0, 0
2015/3/10, 00:00:00, 1.18210, 1.18210, 1.18210, 1.18210, 0, 0
2015/3/11, 00:00:00, 1.16480, 1.16480, 1.16480, 1.16480, 0, 0
2015/3/12, 00:00:00, 1.16870, 1.16870, 1.16870, 1.16870, 0, 0
2015/3/13, 00:00:00, 1.15420, 1.15420, 1.15420, 1.15420, 0, 0
2015/3/16, 00:00:00, 1.16480, 1.16480, 1.16480, 1.16480, 0, 0
2015/3/17, 00:00:00, 1.16530, 1.16530, 1.16530, 1.16530, 0, 0
2015/3/18, 00:00:00, 1.18150, 1.18150, 1.18150, 1.18150, 0, 0
2015/3/19, 00:00:00, 1.16610, 1.16610, 1.16610, 1.16610, 0, 0
2015/3/20, 00:00:00, 1.18240, 1.18240, 1.18240, 1.18240, 0, 0
2015/3/23, 00:00:00, 1.19410, 1.19410, 1.19410, 1.19410, 0, 0
2015/3/24, 00:00:00, 1.18970, 1.18970, 1.18970, 1.18970, 0, 0
2015/3/25, 00:00:00, 1.19440, 1.19440, 1.19440, 1.19440, 0, 0
2015/3/26, 00:00:00, 1.18940, 1.18940, 1.18940, 1.18940, 0, 0
2015/3/27, 00:00:00, 1.18950, 1.18950, 1.18950, 1.18950, 0, 0
2015/3/30, 00:00:00, 1.17880, 1.17880, 1.17880, 1.17880, 0, 0
2015/3/31, 00:00:00, 1.17030, 1.17030, 1.17030, 1.17030, 0, 0
2015/4/1, 00:00:00, 1.16870, 1.16870, 1.16870, 1.16870, 0, 0
2015/4/2, 00:00:00, 1.18320, 1.18320, 1.18320, 1.18320, 0, 0
2015/4/3, 00:00:00, 1.19340, 1.19340, 1.19340, 1.19340, 0, 0
2015/4/6, 00:00:00, 1.19000, 1.19000, 1.19000, 1.19000, 0, 0
2015/4/7, 00:00:00, 1.17590, 1.17590, 1.17590, 1.17590, 0, 0
2015/4/8, 00:00:00, 1.17280, 1.17280, 1.17280, 1.17280, 0, 0
2015/4/9, 00:00:00, 1.15950, 1.15950, 1.15950, 1.15950, 0, 0
2015/4/10, 00:00:00, 1.15590, 1.15590, 1.15590, 1.15590, 0, 0
2015/4/13, 00:00:00, 1.15110, 1.15110, 1.15110, 1.15110, 0, 0
2015/4/14, 00:00:00, 1.15800, 1.15800, 1.15800, 1.15800, 0, 0
2015/4/15, 00:00:00, 1.16190, 1.16190, 1.16190, 1.16190, 0, 0
