Date, Time, Open, High, Low, Last, Volume, OpenInterest
2015/3/3, 00:00:00, 1.22910, 1.22910, 1.15420, 1.17030, 0, 0
2015/4/1, 00:00:00, 1.16870, 1.22540, 1.15110, 1.22540, 0, 0
2015/5/1, 00:00:00, 1.22080, 1.23710, 1.17910, 1.18910, 0, 0
2015/6/1, 00:00:00, 1.18600, 1.22870, 1.18600, 1.20600, 0, 0
2015/7/1, 00:00:00, 1.19860, 1.20100, 1.17580, 1.18370, 0, 0
2015/8/3, 00:00:00, 1.18140, 1.24270, 1.17820, 1.20700, 0, 0
2015/9/1, 00:00:00, 1.21230, 1.22530, 1.19330, 1.19330, 0, 0
2015/10/1, 00:00:00, 1.19760, 1.22220, 1.17190, 1.18460, 0, 0
2015/11/2, 00:00:00, 1.18570, 1.18570, 1.14770, 1.14770, 0, 0
2015/12/1, 00:00:00, 1.15330, 1.19310, 1.15330, 1.17360, 0, 0
2016/1/4, 00:00:00, 1.16910, 1.17920, 1.16130, 1.16300, 0, 0
2016/2/1, 00:00:00, 1.17060, 1.20670, 1.17055, 1.17065, 0, 0
2016/3/1, 00:00:00, 1.17145, 1.21925, 1.17115, 1.21925, 0, 0
2016/4/1, 00:00:00, 1.22040, 1.22525, 1.20425, 1.22525, 0, 0
2016/5/2, 00:00:00, 1.23405, 1.23405, 1.19430, 1.19430, 0, 0
2016/6/1, 00:00:00, 1.20110, 1.21760, 1.16930, 1.17655, 0, 0
2016/7/1, 00:00:00, 1.18625, 1.19460, 1.17315, 1.19460, 0, 0
2016/8/1, 00:00:00, 1.19330, 1.21390, 1.18770, 1.19455, 0, 0
2016/9/1, 00:00:00, 1.19905, 1.20330, 1.19170, 1.20010, 0, 0
2016/10/3, 00:00:00, 1.19780, 1.19790, 1.15860, 1.16780, 0, 0
2016/11/1, 00:00:00, 1.17745, 1.18125, 1.13530, 1.14075, 0, 0
2016/12/1, 00:00:00, 1.14645, 1.15940, 1.12515, 1.13760, 0, 0
2017/1/3, 00:00:00, 1.12395, 1.16010, 1.12395, 1.16010, 0, 0
2017/2/1, 00:00:00, 1.15880, 1.15880, 1.13460, 1.13890, 0, 0
2017/3/1, 00:00:00, 1.13505, 1.15940, 1.13035, 1.14275, 0, 0
2017/4/3, 00:00:00, 1.13995, 1.16480, 1.13065, 1.16065, 0, 0
2017/5/1, 00:00:00, 1.16205, 1.19350, 1.15650, 1.19350, 0, 0
2017/6/1, 00:00:00, 1.19010, 1.21070, 1.18085, 1.20925, 0, 0
2017/7/3, 00:00:00, 1.20405, 1.24985, 1.20215, 1.24985, 0, 0
2017/8/1, 00:00:00, 1.24680, 1.26550, 1.24025, 1.25615, 0, 0
2017/9/1, 00:00:00, 1.25255, 1.26740, 1.24380, 1.24895, 0, 0
2017/10/2, 00:00:00, 1.24215, 1.25375, 1.22880, 1.23360, 0, 0
2017/11/1, 00:00:00, 1.23010, 1.26345, 1.22710, 1.26030, 0, 0
2017/12/1, 00:00:00, 1.26020, 1.27150, 1.24500, 1.27150, 0, 0
2018/1/2, 00:00:00, 1.27565, 1.31755, 1.26450, 1.31710, 0, 0
2018/2/1, 00:00:00, 1.32740, 1.32960, 1.29755, 1.29785, 0, 0
2018/3/1, 00:00:00, 1.30165, 1.32395, 1.30165, 1.30465, 0, 0
2018/4/2, 00:00:00, 1.30505, 1.31480, 1.28235, 1.28235, 0, 0
2018/5/1, 00:00:00, 1.27300, 1.27300, 1.21865, 1.23545, 0, 0
2018/6/1, 00:00:00, 1.23375, 1.24810, 1.21920, 1.23080, 0, 0
2018/7/2, 00:00:00, 1.22445, 1.23870, 1.22445, 1.23135, 0, 0
2018/8/1, 00:00:00, 1.22790, 1.22895, 1.19235, 1.21725, 0, 0
2018/9/4, 00:00:00, 1.21575, 1.23655, 1.21435, 1.21805, 0, 0
2018/10/1, 00:00:00, 1.21425, 1.21600, 1.18510, 1.18510, 406, 197
2018/11/1, 00:00:00, 1.19445, 1.19975, 1.17695, 1.17995, 61, 223
2018/12/3, 00:00:00, 1.18365, 1.19880, 1.17695, 1.18890, 335, 239
2019/1/2, 00:00:00, 1.17770, 1.19805, 1.17035, 1.18470, 222, 259
2019/2/1, 00:00:00, 1.18425, 1.18900, 1.16185, 1.17455, 518, 443
2019/3/1, 00:00:00, 1.17710, 1.18170, 1.15390, 1.15400, 1133, 641
2019/4/1, 00:00:00, 1.15580, 1.16415, 1.14250, 1.15215, 1079, 773
2019/5/1, 00:00:00, 1.15280, 1.15450, 1.13810, 1.14275, 5811, 4688
2019/6/3, 00:00:00, 1.14470, 1.16305, 1.14145, 1.15980, 4591, 7514
2019/7/1, 00:00:00, 1.15700, 1.15750, 1.12715, 1.12905, 1341, 7906
2019/8/1, 00:00:00, 1.12830, 1.14200, 1.11335, 1.11395, 1512, 7928
2019/9/3, 00:00:00, 1.11250, 1.12575, 1.10205, 1.10375, 21701, 20237
2019/10/1, 00:00:00, 1.10350, 1.12910, 1.10145, 1.12450, 15440, 21175
2019/11/1, 00:00:00, 1.12505, 1.12745, 1.10605, 1.10965, 31447, 28815
2019/12/2, 00:00:00, 1.10975, 1.12930, 1.10820, 1.12820, 2982084, 548382
2020/1/2, 00:00:00, 1.12670, 1.12755, 1.11290, 1.11530, 1351619, 0
