Date, Time, Open, High, Low, Last, Volume, OpenInterest
2015/3/3, 00:00:00, 1.22910, 1.22910, 1.19890, 1.19890, 0, 0
2015/3/9, 00:00:00, 1.19960, 1.19960, 1.15420, 1.15420, 0, 0
2015/3/16, 00:00:00, 1.16480, 1.18240, 1.16480, 1.18240, 0, 0
2015/3/23, 00:00:00, 1.19410, 1.19440, 1.18940, 1.18950, 0, 0
2015/3/30, 00:00:00, 1.17880, 1.19340, 1.16870, 1.19340, 0, 0
2015/4/6, 00:00:00, 1.19000, 1.19000, 1.15590, 1.15590, 0, 0
2015/4/13, 00:00:00, 1.15110, 1.17460, 1.15110, 1.17460, 0, 0
2015/4/20, 00:00:00, 1.16850, 1.18180, 1.16810, 1.18180, 0, 0
2015/4/27, 00:00:00, 1.18280, 1.22540, 1.18280, 1.22080, 0, 0
2015/5/4, 00:00:00, 1.21220, 1.23610, 1.21220, 1.21530, 0, 0
2015/5/11, 00:00:00, 1.21270, 1.23710, 1.21270, 1.23710, 0, 0
2015/5/18, 00:00:00, 1.22330, 1.22330, 1.19710, 1.19710, 0, 0
2015/5/26, 00:00:00, 1.17910, 1.18910, 1.17910, 1.18910, 0, 0
2015/6/1, 00:00:00, 1.18600, 1.21750, 1.18600, 1.20720, 0, 0
2015/6/8, 00:00:00, 1.22090, 1.22690, 1.21970, 1.21970, 0, 0
2015/6/15, 00:00:00, 1.22110, 1.22870, 1.21540, 1.22400, 0, 0
2015/6/22, 00:00:00, 1.22340, 1.22340, 1.20640, 1.20810, 0, 0
2015/6/29, 00:00:00, 1.21630, 1.21630, 1.19850, 1.19850, 0, 0
2015/7/6, 00:00:00, 1.19280, 1.20100, 1.18480, 1.20100, 0, 0
2015/7/13, 00:00:00, 1.18950, 1.18950, 1.17590, 1.17600, 0, 0
2015/7/20, 00:00:00, 1.17580, 1.19190, 1.17580, 1.18880, 0, 0
2015/7/27, 00:00:00, 1.19950, 1.19950, 1.18270, 1.18370, 0, 0
2015/8/3, 00:00:00, 1.18140, 1.18670, 1.17820, 1.18670, 0, 0
2015/8/10, 00:00:00, 1.19260, 1.20470, 1.19040, 1.20080, 0, 0
2015/8/17, 00:00:00, 1.19650, 1.22060, 1.19050, 1.22060, 0, 0
2015/8/24, 00:00:00, 1.24270, 1.24270, 1.20120, 1.20120, 0, 0
2015/8/31, 00:00:00, 1.20700, 1.21230, 1.19570, 1.19810, 0, 0
2015/9/8, 00:00:00, 1.20480, 1.22060, 1.20480, 1.22060, 0, 0
2015/9/14, 00:00:00, 1.22010, 1.22530, 1.21510, 1.21920, 0, 0
2015/9/21, 00:00:00, 1.20290, 1.20290, 1.19470, 1.19910, 0, 0
2015/9/28, 00:00:00, 1.20160, 1.20260, 1.19330, 1.19830, 0, 0
2015/10/5, 00:00:00, 1.19450, 1.21450, 1.19450, 1.21450, 0, 0
2015/10/12, 00:00:00, 1.21640, 1.22220, 1.21250, 1.21420, 0, 0
2015/10/19, 00:00:00, 1.20930, 1.21010, 1.18040, 1.18040, 0, 0
2015/10/26, 00:00:00, 1.18460, 1.18460, 1.17190, 1.18460, 0, 0
2015/11/2, 00:00:00, 1.18570, 1.18570, 1.16520, 1.16520, 0, 0
2015/11/9, 00:00:00, 1.17020, 1.17190, 1.16370, 1.16390, 0, 0
2015/11/16, 00:00:00, 1.15640, 1.16390, 1.15570, 1.15590, 0, 0
