day,Date,time,open,high,low,close,index
Friday,2020-01-03,00:00:00,1.1171,1.1176,1.1168,1.1174,260
Friday,2020-01-03,01:00:00,1.1175,1.1179,1.1171,1.1174,259
Friday,2020-01-03,02:00:00,1.1174,1.1178,1.117,1.1173,258
Friday,2020-01-03,03:00:00,1.1173,1.1174,1.1168,1.1172,257
Friday,2020-01-03,04:00:00,1.1172,1.1175,1.1167,1.117,256
Friday,2020-01-03,05:00:00,1.117,1.1171,1.1163,1.1166,255
Friday,2020-01-03,06:00:00,1.1166,1.117,1.1163,1.1169,254
Friday,2020-01-03,07:00:00,1.1169,1.1172,1.115,1.1153,253
Friday,2020-01-03,08:00:00,1.1153,1.116,1.1149,1.1151,252
Friday,2020-01-03,09:00:00,1.1151,1.1152,1.1138,1.114,251
Friday,2020-01-03,10:00:00,1.114,1.1143,1.1129,1.1136,250
Friday,2020-01-03,11:00:00,1.1136,1.1136,1.1123,1.1129,249
Friday,2020-01-03,12:00:00,1.113,1.1143,1.1127,1.1139,248
Friday,2020-01-03,13:00:00,1.1139,1.1149,1.1136,1.1138,247
Friday,2020-01-03,14:00:00,1.1138,1.1154,1.1134,1.1152,246
Friday,2020-01-03,15:00:00,1.1152,1.1167,1.1152,1.1163,245
Friday,2020-01-03,16:00:00,1.1163,1.118,1.1161,1.1172,244
Friday,2020-01-03,17:00:00,1.1172,1.1174,1.1166,1.1172,243
Friday,2020-01-03,18:00:00,1.1172,1.1174,1.1164,1.1167,242
Friday,2020-01-03,19:00:00,1.1167,1.1168,1.116,1.1167,241
Friday,2020-01-03,20:00:00,1.1167,1.1167,1.1158,1.1161,240
Friday,2020-01-03,21:00:00,1.1162,1.1162,1.1151,1.116,239
Friday,2020-01-03,22:00:00,1.116,1.116,1.116,1.116,238
Friday,2020-01-03,23:00:00,1.116,1.116,1.116,1.116,237
Friday,2020-01-10,00:00:00,1.1109,1.111,1.1104,1.1107,140
Friday,2020-01-10,01:00:00,1.1107,1.1107,1.1101,1.1104,139
Friday,2020-01-10,02:00:00,1.1104,1.1108,1.1102,1.1108,138
Friday,2020-01-10,03:00:00,1.1108,1.1109,1.1105,1.1108,137
Friday,2020-01-10,04:00:00,1.1108,1.1111,1.1105,1.1107,136
Friday,2020-01-10,05:00:00,1.1107,1.111,1.1104,1.1109,135
Friday,2020-01-10,06:00:00,1.1109,1.111,1.1105,1.1109,134
Friday,2020-01-10,07:00:00,1.1109,1.1111,1.1103,1.1107,133
Friday,2020-01-10,08:00:00,1.1107,1.1109,1.1092,1.1099,132
Friday,2020-01-10,09:00:00,1.1099,1.11,1.1089,1.1096,131
Friday,2020-01-10,10:00:00,1.1096,1.1099,1.1089,1.1093,130
Friday,2020-01-10,11:00:00,1.1093,1.1096,1.1084,1.1093,129
Friday,2020-01-10,12:00:00,1.1093,1.1099,1.109,1.1098,128
Friday,2020-01-10,13:00:00,1.1098,1.1114,1.1088,1.1097,127
Friday,2020-01-10,14:00:00,1.1097,1.1104,1.1085,1.1101,126
